energy,valence,tempo,danceability,acousticness,instrumentalness,track_name,track_artist,mood
0.76,0.69,103.969,0.701,0.107,6.54e-05,Espresso,Sabrina Carpenter,Happy
0.725,0.838,116.988,0.894,0.00434,1.15e-05,Mantra,JENNIE,Happy
0.563,0.343,105.008,0.833,0.528,1.27e-05,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Energetic
0.628,0.321,119.98,0.757,0.189,0.0209,NEW DROP,Don Toliver,Energetic
0.855,0.731,127.986,0.638,0.00757,0.0,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",Happy
0.62,0.934,117.038,0.741,0.0295,0.000809,Too Sweet,Hozier,Happy
0.339,0.457,97.989,0.705,0.552,0.0814,No One Noticed,The Marías,Sad
0.651,0.471,112.648,0.694,0.496,1.36e-05,Tu Boda,"Oscar Maydon, Fuerza Regida",Energetic
0.601,0.332,123.994,0.635,0.246,0.0,Stargazing,Myles Smith,Energetic
0.691,0.703,167.029,0.836,0.00586,0.0,WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red",Happy
0.646,0.295,115.842,0.645,0.0615,3.04e-05,we can't be friends (wait for your love),Ariana Grande,Energetic
0.471,0.219,105.029,0.472,0.151,0.0,Beautiful Things,Benson Boone,Sad
0.709,0.712,194.055,0.744,0.0501,0.0,DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",Happy
0.904,0.788,167.033,0.739,0.549,1.03e-05,Touch,KATSEYE,Happy
0.604,0.242,159.92,0.561,0.199,1.9e-05,Lose Control,Teddy Swims,Energetic
0.668,0.64,90.969,0.646,0.491,0.0,Belong Together,Mark Ambor,Happy
0.668,0.787,128.027,0.924,0.446,0.000594,Si Antes Te Hubiera Conocido,KAROL G,Happy
0.454,0.912,159.982,0.689,0.0351,0.00259,End of Beginning,Djo,Neutral
0.386,0.281,192.004,0.504,0.502,1.53e-05,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",Sad
0.681,0.388,155.079,0.56,0.103,0.0,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",Energetic
0.472,0.214,101.061,0.898,0.0107,0.0,Not Like Us,Kendrick Lamar,Sad
0.711,0.317,146.921,0.487,0.000175,0.0,Running Wild,Jin,Energetic
0.712,0.692,91.98,0.848,0.221,0.0,+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",Happy
0.645,0.788,114.933,0.882,0.475,4.13e-05,Embrace It,Ndotz,Happy
0.872,0.806,184.115,0.466,0.0156,0.0,The Emptiness Machine,Linkin Park,Happy
0.756,0.838,116.034,0.66,0.00289,0.0,Who,Jimin,Happy
0.508,0.609,147.125,0.579,0.00574,0.000494,Hotel California - 2013 Remaster,Eagles,Happy
0.89,0.259,133.52,0.502,0.000147,0.0117,Thunderstruck,AC/DC,Energetic
0.446,0.278,123.596,0.743,0.0039,0.118,Seven Nation Army,The White Stripes,Sad
0.43,0.104,91.844,0.515,0.0097,0.000133,Creep,Radiohead,Sad
0.824,0.539,120.125,0.5,0.00016,0.00161,Come As You Are,Nirvana,Happy
0.767,0.328,96.483,0.592,0.0021,0.00165,Californication,Red Hot Chili Peppers,Energetic
0.952,0.624,125.304,0.445,0.09,0.0843,Sweet Child O' Mine,Guns N' Roses,Happy
0.795,0.612,158.691,0.464,0.0493,0.00244,"Paint It, Black",The Rolling Stones,Happy
0.492,0.789,120.151,0.828,0.0644,0.00428,Dreams - 2004 Remaster,Fleetwood Mac,Neutral
0.881,0.364,158.066,0.413,5.99e-05,0.000308,Everlong,Foo Fighters,Energetic
0.716,0.901,94.379,0.535,0.326,0.0,I Love Rock 'N Roll,Joan Jett & the Blackhearts,Happy
0.322,0.387,93.503,0.475,0.367,0.00056,Dust in the Wind,Kansas,Sad
0.394,0.721,104.114,0.693,0.0782,0.000694,"Another Brick in the Wall, Pt. 2",Pink Floyd,Neutral
0.899,0.603,152.445,0.475,0.00375,1.91e-05,Runaway,Bon Jovi,Happy
0.943,0.781,85.064,0.442,0.00293,8.71e-06,Basket Case,Green Day,Happy
0.345,0.458,84.581,0.559,0.0576,0.000105,Under the Bridge,Red Hot Chili Peppers,Sad
0.814,0.728,147.193,0.673,0.0134,0.00293,White Wedding - Pt. 1,Billy Idol,Happy
0.767,0.755,127.361,0.532,0.00287,0.000513,You Shook Me All Night Long,AC/DC,Happy
0.863,0.931,136.302,0.723,0.0383,0.0317,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Happy
0.449,0.549,100.456,0.486,0.166,2.23e-06,Starman - 2012 Remaster,David Bowie,Neutral
0.902,0.422,89.74,0.412,0.0484,0.131,Whole Lotta Love - 1990 Remaster,Led Zeppelin,Energetic
0.722,0.716,103.886,0.55,0.25,0.0129,Riders on the Storm,The Doors,Happy
0.944,0.265,105.338,0.394,0.00178,4.54e-06,Even Flow,Pearl Jam,Energetic
0.952,0.584,122.093,0.398,0.000373,7.75e-05,Born in the U.S.A.,Bruce Springsteen,Happy
0.917,0.518,171.176,0.356,0.0335,0.0,Bitter Sweet Symphony - Remastered 2016,The Verve,Happy
0.589,0.254,124.634,0.455,0.00184,0.00358,Don't Cry (Original),Guns N' Roses,Energetic
0.805,0.564,113.253,0.438,0.00255,5.69e-05,All Along the Watchtower,Jimi Hendrix,Happy
0.239,0.298,189.507,0.446,0.551,4.1e-06,In The Air Tonight - 2015 Remastered,Phil Collins,Sad
0.521,0.942,123.118,0.721,0.0708,0.00545,Psycho Killer - 2005 Remaster,Talking Heads,Happy
0.67,0.777,129.269,0.619,0.00165,0.0109,Are You Gonna Go My Way,Lenny Kravitz,Happy
0.828,0.562,105.25,0.539,0.00067,0.421,Master of Puppets (Remastered),Metallica,Happy
0.487,0.731,114.965,0.73,0.258,0.01,Everywhere - 2017 Remaster,Fleetwood Mac,Neutral
0.697,0.774,116.109,0.741,0.0664,2.28e-05,Have You Ever Seen The Rain,Creedence Clearwater Revival,Happy
0.579,0.691,127.215,0.62,0.0152,6.4e-05,Just What I Needed,The Cars,Happy
0.912,0.72,116.761,0.502,2.55e-05,0.000173,Smells Like Teen Spirit,Nirvana,Happy
0.833,0.661,88.785,0.466,0.0266,0.0,Killing In The Name,Rage Against The Machine,Happy
0.376,0.188,164.775,0.53,0.0304,0.247,Come Together - Remastered 2009,The Beatles,Sad
0.786,0.793,126.755,0.482,0.00321,8.88e-05,Carry on Wayward Son,Kansas,Happy
0.789,0.918,129.802,0.674,0.00178,0.00708,Song 2 - 2012 Remaster,Blur,Happy
0.441,0.25,81.334,0.519,0.0204,0.000453,Where Is My Mind? - 2007 Remaster,Pixies,Sad
0.836,0.82,113.375,0.743,0.0804,0.0,Should I Stay or Should I Go - Remastered,The Clash,Happy
0.528,0.757,109.975,0.932,0.115,0.329,Another One Bites The Dust - Remastered 2011,Queen,Happy
0.905,0.411,128.019,0.602,0.000202,0.064,Uprising,Muse,Energetic
0.519,0.822,98.883,0.653,0.406,0.0209,For What It's Worth,Buffalo Springfield,Happy
0.946,0.647,138.18,0.454,0.0223,0.0,You Really Got Me - 2015 Remaster,Van Halen,Happy
0.828,0.147,105.435,0.35,0.000217,0.000161,Black Hole Sun,Soundgarden,Energetic
0.349,0.622,124.348,0.489,0.676,0.0789,Black Magic Woman - Single Version,Santana,Neutral
0.872,0.735,159.925,0.587,0.018,0.0,Fly Away,Lenny Kravitz,Happy
0.808,0.869,151.008,0.577,0.0338,1.33e-05,Message In A Bottle,The Police,Happy
0.758,0.435,112.113,0.489,0.000678,0.49,Heroes - 2017 Remaster,David Bowie,Energetic
0.932,0.619,112.937,0.564,0.013,0.169,Immigrant Song - Remaster,Led Zeppelin,Happy
0.338,0.478,177.765,0.388,0.652,3.73e-06,Mr. Blue Sky,Electric Light Orchestra,Sad
0.7,0.763,188.386,0.31,0.011,0.00965,Back In Black,AC/DC,Happy
0.691,0.667,137.145,0.548,0.015,0.106,Barracuda,Heart,Happy
0.532,0.342,136.576,0.601,0.433,5.95e-06,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Energetic
0.641,0.382,203.006,0.256,0.199,0.0329,Heart-Shaped Box,Nirvana,Energetic
0.755,0.883,109.535,0.667,0.0966,6.94e-05,Life in the Fast Lane - 2013 Remaster,Eagles,Happy
0.373,0.732,92.718,0.671,0.257,8.01e-05,Africa,TOTO,Neutral
0.927,0.385,141.466,0.333,0.0029,0.000208,(Don't Fear) The Reaper,Blue Öyster Cult,Energetic
0.787,0.964,126.879,0.767,0.0163,0.583,1979 - Remastered 2012,The Smashing Pumpkins,Happy
0.366,0.171,127.163,0.472,0.15,0.312,Comfortably Numb,Pink Floyd,Sad
0.864,0.749,81.394,0.437,0.396,0.0314,Black Dog - Remaster,Led Zeppelin,Happy
0.584,0.685,170.411,0.509,0.0368,9.96e-05,No One Knows,Queens of the Stone Age,Happy
0.912,0.843,117.399,0.575,0.0916,0.00211,Long Train Runnin',The Doobie Brothers,Happy
0.611,0.786,85.387,0.654,0.0337,0.000178,Loser,Beck,Happy
0.482,0.492,138.453,0.529,0.7,0.0,American Pie,Don McLean,Sad
0.748,0.663,134.114,0.618,0.0384,4.1e-06,Roxanne,The Police,Happy
0.7,0.897,147.245,0.586,0.0589,0.00125,My Sharona,The Knack,Happy
0.318,0.385,104.522,0.575,0.683,0.000202,Walk On the Wild Side,Lou Reed,Sad
0.706,0.768,80.823,0.445,0.234,0.000252,The Boys Are Back In Town,Thin Lizzy,Happy
0.913,0.423,115.728,0.574,0.061,0.00158,Highway to Hell,AC/DC,Energetic
0.495,0.308,124.936,0.532,0.659,0.0,Vienna,Billy Joel,Sad
0.875,0.595,75.009,0.284,0.00752,0.000461,Alive,Pearl Jam,Happy
0.737,0.744,103.867,0.662,0.108,0.0191,The Best,Tina Turner,Happy
0.936,0.776,91.577,0.666,0.00244,0.086,Give It Away,Red Hot Chili Peppers,Happy
0.432,0.648,94.605,0.475,0.183,0.0,Good Riddance (Time of Your Life),Green Day,Neutral
0.549,0.907,176.941,0.516,0.501,0.00572,The Boys Of Summer,Don Henley,Happy
0.751,0.789,89.839,0.421,0.2,0.0,Break on Through (To the Other Side),The Doors,Happy
0.938,0.543,168.131,0.324,0.032,0.0321,Sabotage,Beastie Boys,Happy
0.953,0.568,84.989,0.267,0.00211,0.0,Pour Some Sugar On Me - Remastered 2017,Def Leppard,Happy
0.919,0.537,135.997,0.465,1.83e-05,2.07e-05,Learn to Fly,Foo Fighters,Happy
0.58,0.944,127.402,0.741,0.117,3.61e-05,Hit Me With Your Best Shot,Pat Benatar,Happy
0.72,0.475,121.864,0.404,5.59e-05,0.836,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,Energetic
0.927,0.49,170.814,0.215,0.000273,0.00661,Interstate Love Song - 2019 Remaster,Stone Temple Pilots,Energetic
0.801,0.776,133.769,0.651,0.123,0.0,London Calling - Remastered,The Clash,Happy
0.262,0.375,122.861,0.481,0.735,0.0114,Wish You Were Here,Pink Floyd,Sad
0.449,0.573,84.383,0.623,0.212,0.0,Free Fallin',Tom Petty,Neutral
0.476,0.566,148.117,0.389,0.619,5.09e-05,No Rain,Blind Melon,Neutral
0.978,0.451,141.167,0.526,0.00122,4.75e-05,Panama - 2015 Remaster,Van Halen,Energetic
0.842,0.586,100.127,0.297,0.000286,9.1e-06,Would? (2022 Remaster),Alice In Chains,Happy
0.944,0.606,146.347,0.27,0.00501,2.05e-05,Born to Run,Bruce Springsteen,Happy
0.182,0.178,136.094,0.349,0.92,0.0152,Unforgettable,Nat King Cole,Sad
0.164,0.071,58.303,0.136,0.911,0.916,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra",Sad
0.00527,0.151,170.612,0.184,0.995,0.887,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven, Paul Lewis",Sad
0.449,0.036,92.468,0.447,0.934,0.961,Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",Sad
0.812,0.664,80.09,0.505,0.285,0.0,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",Happy
0.507,0.506,130.007,0.872,0.195,0.0,HIM ALL ALONG,Gunna,Happy
0.802,0.374,128.085,0.835,0.0311,7.33e-06,Leave Me Alone,BigXthaPlug,Energetic
0.533,0.15,120.011,0.794,0.14,2.76e-05,PLUTOSKI,Future,Energetic
0.722,0.57,119.973,0.769,0.0584,2.56e-06,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Happy
0.684,0.68,166.976,0.832,0.00449,0.0,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",Happy
0.642,0.186,111.907,0.65,0.00502,0.0,Insecurities,Lil Baby,Energetic
0.699,0.484,129.054,0.92,0.00768,0.0,Gang Baby,NLE Choppa,Energetic
0.628,0.321,119.98,0.757,0.189,0.0209,NEW DROP,Don Toliver,Energetic
0.709,0.564,78.53,0.749,0.155,0.0,Help Me,Real Boston Richey,Happy
0.69,0.471,125.951,0.853,0.0771,0.0,No Face,Drake,Energetic
0.754,0.301,131.001,0.863,0.00125,0.0,LIL DEMON,Future,Energetic
0.4,0.089,106.682,0.608,0.029,0.000327,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",Sad
0.509,0.549,157.94,0.662,0.247,0.0,Sorry Not Sorry,"Lil Yachty, Veeze",Happy
0.663,0.209,143.082,0.76,0.109,0.0,ALL RED,Playboi Carti,Energetic
0.761,0.313,147.216,0.649,0.00694,0.0,I CAN’T LET GO,"Lil Tecca, Don Toliver",Energetic
0.663,0.381,184.057,0.672,0.112,0.0,Chill Bae,Lil Uzi Vert,Energetic
0.681,0.324,114.991,0.884,0.0439,0.0,2AM,BigXthaPlug,Energetic
0.723,0.294,139.942,0.783,0.0264,0.0,It's Up (feat. Young Thug & 21 Savage),"Drake, Young Thug, 21 Savage",Energetic
0.831,0.648,139.905,0.652,0.0111,0.0,The Viper,BabyChiefDoit,Happy
0.525,0.467,75.013,0.776,0.0366,0.0,Brokey,Latto,Energetic
0.5,0.269,63.925,0.427,0.286,0.0,25,Rod Wave,Sad
0.586,0.147,125.845,0.731,0.116,0.0,Or What,"NLE Choppa, 41, Kyle Richh",Energetic
0.552,0.112,144.941,0.64,0.0215,0.0,Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",Energetic
0.472,0.214,101.061,0.898,0.0107,0.0,Not Like Us,Kendrick Lamar,Sad
0.859,0.64,129.77,0.77,0.362,0.0,Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator, ScHoolboy Q, Santigold",Happy
0.685,0.458,121.991,0.731,0.054,0.0,FIELD TRIP,"¥$, Playboi Carti, Don Toliver, Kodak Black",Energetic
0.578,0.192,124.005,0.916,0.00349,0.00402,TEFLON DON,Future,Energetic
0.574,0.286,146.007,0.694,0.193,0.0,Circadian Rhythm,Drake,Energetic
0.867,0.799,131.041,0.902,0.0678,0.0,The Largest,BigXthaPlug,Happy
0.692,0.427,140.203,0.637,0.0153,0.0,Light Year (Practice),Lil Uzi Vert,Energetic
0.478,0.39,104.563,0.675,0.0731,7.8e-06,Blow for Blow (feat. J. Cole),"Tee Grizzley, J. Cole",Sad
0.878,0.514,82.557,0.661,0.00289,0.0,Rah Tah Tah,"Tyler, The Creator",Happy
0.396,0.413,78.022,0.726,0.269,0.0,Both Ways,Juice WRLD,Sad
0.711,0.328,117.038,0.974,0.0988,3.92e-05,NISSAN ALTIMA,Doechii,Energetic
0.527,0.212,77.499,0.824,0.149,0.0,Tailor Swif,A$AP Rocky,Energetic
0.752,0.242,158.042,0.638,0.0066,0.734,GEEK TIMË,Yeat,Energetic
0.826,0.417,108.52,0.654,0.0153,0.00146,Many Men (Wish Death),50 Cent,Energetic
0.472,0.214,101.061,0.898,0.0107,0.0,Not Like Us,Kendrick Lamar,Sad
0.764,0.886,140.113,0.882,0.359,0.0,BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",Happy
0.552,0.112,144.941,0.64,0.0215,0.0,Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",Energetic
0.632,0.253,123.987,0.848,0.398,0.0,"Bent (with Kyle Richh, Jenn Carter & TaTa)","41, Kyle Richh, Jenn Carter, TaTa",Energetic
0.805,0.649,142.096,0.548,0.212,0.000405,Dior,Pop Smoke,Happy
0.631,0.433,121.854,0.772,0.0648,0.0,SAY MY GRACE (feat. Travis Scott),"Offset, Travis Scott",Energetic
0.702,0.675,125.089,0.871,0.296,0.0,6locc 6a6y,Lil Loaded,Happy
0.57,0.733,142.974,0.787,0.0449,0.0,All My Life (feat. J. Cole),"Lil Durk, J. Cole",Happy
0.583,0.533,116.624,0.709,0.138,2.97e-06,Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",Happy
0.592,0.4,159.98,0.82,0.0149,4.71e-06,Took Her To The O,King Von,Energetic
0.68,0.694,144.006,0.85,0.732,0.0,Loading,Central Cee,Happy
0.758,0.331,165.409,0.681,0.00465,0.0,née-nah,"21 Savage, Travis Scott, Metro Boomin",Energetic
0.413,0.211,131.964,0.772,0.0361,0.0,Love Sosa,Chief Keef,Sad
0.658,0.387,151.951,0.752,0.0421,0.0,Drankin N Smokin,"Future, Lil Uzi Vert",Energetic
0.732,0.612,142.791,0.548,0.125,0.0,Invincible,Pop Smoke,Happy
0.676,0.472,143.477,0.594,0.135,0.0,GATTI,"JACKBOYS, Pop Smoke, Travis Scott",Energetic
0.618,0.286,99.7,0.49,0.0221,3.77e-06,The Woo (feat. 50 Cent & Roddy Ricch),"Pop Smoke, 50 Cent, Roddy Ricch",Energetic
0.35,0.346,77.528,0.822,0.0213,0.0,Neva Cared,Polo G,Sad
0.946,0.745,150.141,0.804,0.002,0.0,Mr. Glock,Key Glock,Happy
0.626,0.415,143.01,0.819,0.00748,0.101,Runnin,"21 Savage, Metro Boomin",Energetic
0.592,0.232,188.051,0.696,0.152,0.0,Armed & Dangerous,King Von,Energetic
0.547,0.606,138.05,0.92,0.0241,1.45e-06,Coffin,Lil Yachty,Happy
0.395,0.128,76.984,0.793,0.277,1.4e-05,Ready (feat. Gunna),"Lil Baby, Gunna",Sad
0.774,0.549,130.007,0.867,0.11,0.0,Russian Cream,Key Glock,Happy
0.449,0.1,136.006,0.578,0.0618,2.17e-06,Wants and Needs (feat. Lil Baby),"Drake, Lil Baby",Sad
0.673,0.366,165.921,0.529,0.000307,2.41e-06,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",Energetic
0.73,0.41,156.953,0.729,0.00165,4.33e-05,"Crazy Story, Pt. 3",King Von,Energetic
0.487,0.108,127.05,0.964,0.00127,6.07e-06,Pure Cocaine,Lil Baby,Sad
0.732,0.576,149.012,0.841,0.0115,2.18e-05,Ambition For Cash,Key Glock,Happy
0.611,0.144,134.093,0.711,0.00588,0.0,family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",Energetic
0.733,0.202,130.029,0.847,0.00574,1.04e-05,Glock In My Lap,"21 Savage, Metro Boomin",Energetic
0.48,0.419,143.029,0.846,0.269,0.0,3 Headed Goat (feat. Lil Baby & Polo G),"Lil Durk, Lil Baby, Polo G",Sad
0.575,0.671,120.031,0.88,0.415,0.0,Run It Up (feat. Offset & Moneybagg Yo),"Lil Tjay, Offset, Moneybagg Yo",Happy
0.727,0.227,150.062,0.477,0.000866,0.0,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),"DJ Khaled, Lil Baby, Lil Durk",Energetic
0.495,0.0774,137.027,0.853,0.0917,0.000217,Sticky,Drake,Sad
0.434,0.281,150.062,0.833,0.0102,0.0219,Mask Off,Future,Sad
0.564,0.483,77.972,0.856,0.00327,0.0,On Me,Lil Baby,Energetic
0.67,0.408,139.956,0.79,0.377,2.32e-06,N95,Kendrick Lamar,Energetic
0.733,0.62,97.974,0.825,0.349,0.0,Rich Nigga Shit (feat. Young Thug),"21 Savage, Metro Boomin, Young Thug",Happy
0.567,0.526,75.965,0.574,0.164,0.0,Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",Happy
0.434,0.281,150.062,0.833,0.0102,0.0219,Mask Off,Future,Sad
0.665,0.463,94.329,0.583,0.314,0.0,Imagina esse Cenário,"Matuê, Veigh",Energetic
0.346,0.562,119.957,0.963,0.0355,0.0,Yes Indeed,"Lil Baby, Drake",Neutral
0.577,0.17,148.107,0.797,0.0174,0.0,Wake Up & Bake Up,"Duki, Wiz Khalifa, Arcángel",Energetic
0.59,0.723,119.97,0.88,0.08,0.0,M4,"Teto, Matuê",Happy
0.631,0.126,129.902,0.807,0.407,0.0,Diablita (feat. Anuel AA & Baby Rasta),"Trap Capos, Noriel, Anuel AA, Baby Rasta",Energetic
0.413,0.211,131.964,0.772,0.0361,0.0,Love Sosa,Chief Keef,Sad
0.822,0.768,165.946,0.513,0.14,0.0,Tessera sanitaria (feat. Nerissima Serpe & Papa V),"Night Skinny, Nerissima Serpe, Papa V",Happy
0.666,0.168,127.079,0.926,0.0611,0.0,Bad and Boujee (feat. Lil Uzi Vert),"Migos, Lil Uzi Vert",Energetic
0.575,0.189,145.95,0.713,0.00669,0.0,That Go! (feat. T-Shyne),"Young Stoner Life, Young Thug, Meek Mill, T-Shyne",Energetic
0.586,0.568,124.041,0.808,0.641,0.0,Me Acostumbre (feat. Bad Bunny),"Arcángel, Bad Bunny",Happy
0.676,0.312,162.012,0.814,0.00709,1.28e-05,Like That,"Future, Metro Boomin, Kendrick Lamar",Energetic
0.928,0.23,109.966,0.616,0.0168,0.0,Castlevania,Matuê,Energetic
0.542,0.564,135.14,0.926,0.135,0.0,We Paid (feat. 42 Dugg),"Lil Baby, 42 Dugg",Happy
0.637,0.616,135.055,0.851,0.225,0.0,Brindis,"Duki, Headie One",Happy
0.718,0.557,128.14,0.76,0.348,0.0,Pa Ti,"Bad Bunny, Bryant Myers",Happy
0.748,0.497,115.01,0.752,0.289,0.0,Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,"Trap Capos, Noriel, Bad Bunny, Almighty",Energetic
0.536,0.349,119.967,0.689,0.25,0.0,Tu Me Enamoraste - Remix,"Lary Over, Anuel, Bryant Myers, Almighty, Brytiago",Energetic
0.531,0.367,118.96,0.566,0.192,0.0,Nena Maldición (feat. Lenny Tavárez),"Paulo Londra, Lenny Tavárez",Energetic
0.657,0.284,124.992,0.883,0.0603,0.0,PUFFIN ON ZOOTIEZ,Future,Energetic
0.88,0.582,92.055,0.753,0.455,0.0,1993,Matuê,Happy
0.496,0.544,86.003,0.889,0.259,0.0,Going Bad (feat. Drake),"Meek Mill, Drake",Neutral
0.708,0.634,96.914,0.712,0.404,0.0,Un Día Más,"Duki, YSY A",Happy
0.696,0.406,120.146,0.744,0.71,0.0,De las 2 (feat. Bad Bunny & Arcángel),"Trap Capos, Noriel, Bad Bunny, Arcángel",Energetic
0.629,0.209,140.101,0.523,0.156,0.0,Un Ratito Mas,"Bryant Myers, Bad Bunny",Energetic
0.735,0.403,99.827,0.697,0.172,0.0,CANZONE D'ODIO (feat. Lil Baby),"Lazza, Lil Baby",Energetic
0.671,0.316,147.037,0.607,0.403,1.31e-06,Deus Perdoa,"Filipe Ret, Dallass, Hunter",Energetic
0.486,0.0894,110.964,0.784,0.0538,0.497,Solo,Future,Sad
0.583,0.533,116.624,0.709,0.138,2.97e-06,Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",Happy
0.385,0.19,129.958,0.69,0.181,0.0,Cómo Le Digo,"KHEA, Omar Varela, Asan",Sad
0.411,0.503,172.445,0.722,0.509,0.0,Maturidade,"KayBlack, Wall Hein, AMUSIK",Neutral
0.484,0.747,133.03,0.93,0.355,6.84e-05,Problemas de um Milionário,"WIU, Teto",Neutral
0.6,0.691,113.903,0.883,0.114,7.94e-06,BOOKER T,Bad Bunny,Happy
0.73,0.446,155.008,0.834,0.00513,0.0,SICKO MODE,Travis Scott,Energetic
0.668,0.145,87.973,0.573,0.189,4.01e-05,Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",Energetic
0.603,0.429,135.993,0.735,0.226,3.56e-05,Me Ama Me Odia,"Revol, Ozuna, Cosculluela, Arcángel, Brytiago",Energetic
0.637,0.882,171.264,0.567,0.499,0.0346,Hm Hm hm,Youka,Happy
0.874,0.927,118.079,0.774,0.142,0.34,Kese (Dance),Wizkid,Happy
0.792,0.903,113.981,0.749,0.308,1.63e-05,Awuke,"Davido, YG Marley",Happy
0.812,0.823,100.049,0.455,0.372,0.0,Favourite Girl (with Rema),"Darkoo, Rema",Happy
0.648,0.746,93.2,0.737,0.252,6.92e-06,Piece of My Heart (feat. Brent Faiyaz),"Wizkid, Brent Faiyaz",Happy
0.814,0.758,93.482,0.683,0.277,0.00826,PUSH 2 START,Tyla,Happy
0.683,0.623,145.379,0.501,0.109,9.25e-05,Fi Kan We Kan,"Bnxn, Rema",Happy
0.634,0.645,101.837,0.502,0.677,0.0341,MMS,"Asake, Wizkid",Happy
0.651,0.471,112.648,0.694,0.496,1.36e-05,Tu Boda,"Oscar Maydon, Fuerza Regida",Energetic
0.581,0.528,99.973,0.805,0.0303,0.0202,Después De La 1,"Cris Mj, FloyyMenor, LOUKI",Happy
